6900,820,820,835,9.1,8.6,9.1
7000,740,690,740,12,12,12.5
7100,630,630,645,18,17,18
7200,550,540,550,25,26,27
7300,470,445,470,38.5,38.5,39.5
7400,397,372,397,55,55,56
7500,307,304,307,78,78,79
7600,235,231,235,109,109,110
7700,173,173,174,148,148,149
7800,120,120,121,194,195,196
7900,79,80,81,258,250,258
8000,48.5,48.5,49,323,323,332
8200,15.5,15.5,16.5,493,493,505
8400,4.1,4.1,4.2,0,0,0
8600,1,1,2,855,825,855
8800,0.6,0.6,0.9,0,0,0
